target_name,species,uniprot_id,gene_symbol,assay_count,binding_type
TSPY4 protein,human,P0CV99,TSPY4,325,EC50
USP11,H. sapiens,P51784,USP11,250,IC50
Small nuclear ribonucleoprotein Sm D3,H. sapiens,P62318,SNRPD3,91,EC50
Small ribosomal subunit protein uS9,H. sapiens,P62249,RPS16,208,Ki
D(2) dopamine receptor,Human,P14416,DRD2,219,Kd
MXD1,H. sapiens,Q05195,MXD1,396,Ki
LSM6,Homo sapiens,P62312,LSM6,64,Ki
"keratin, type i cuticular ha4",Human,O76011,KRT34,112,EC50
HDAC6 protein,Human,Q9UBN7,HDAC6,89,EC50
Small ribosomal subunit protein eS7,Homo sapiens,P62081,RPS7,85,EC50
Ubiquitin carboxyl-terminal hydrolase 14 (USP14),human,P54578,USP14,97,EC50
Exosome complex component RRP45,H. sapiens,Q06265,EXOSC9,128,IC50
Chloride channel protein ClC Ka,H. sapiens,P51800,CLCNKA,118,EC50
Amine oxidase [flavin-containing] A (MAOA),Homo sapiens,P21397,MAOA,311,Ki
HSPE1,Human,P61604,HSPE1,386,Ki
interferon-inducible protein aim2,human,O14862,AIM2,328,Ki
AN1 type zinc finger protein 5,H. sapiens,O76080,ZFAND5,188,Ki
intermediate conductance calcium-activated potassium channel protein 4,H. sapiens,O15554,KCNN4,82,EC50
PLK4 protein,human,O00444,PLK4,121,Kd
Fatty acid amide hydrolase 1,Human,O00519,FAAH,156,Kd
Large ribosomal subunit protein eL13,Homo sapiens,P26373,RPL13,211,Ki
Dual specificity tyrosine-phosphorylation-regulated kinase 1A (DYRK1A),H. sapiens,Q13627,DYRK1A,83,Ki
tubulin beta 8b,Homo sapiens,A6NNZ2,TUBB8B,350,Ki
Immunoglobulin heavy variable 3 9,human,P01782,IGHV3-9,86,IC50
glucocorticoid receptor,Human,P04150,NR3C1,370,EC50
TBKBP1,Homo sapiens,A7MCY6,TBKBP1,176,IC50
interleukin-18 receptor 1,Homo sapiens,Q13478,IL18R1,394,IC50
Nuclear receptor subfamily 4immunitygroup A member 1,human,B4DML7,GFRP1,125,Kd
Transcription factor Sp9,H. sapiens,P0CG40,SP9,129,IC50
Putative STAG3-like protein 1 (STAG3L1),Human,P0CL83,STAG3L1,261,EC50
TGFBR1 protein,H. sapiens,P36897,TGFBR1,27,EC50
sodium channel protein type 10 subunit alpha,Homo sapiens,Q9Y5Y9,SCN10A,92,Ki
mitogen-activated protein kinase 10,Human,P53779,MAPK10,188,Kd
"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase (EBP)",Human,Q15125,EBP,357,Ki
"NAD-dependent protein deacetylase sirtuin-3, mitochondrial",human,Q9NTG7,SIRT3,295,EC50
5-hydroxytryptamine receptor 6 (HTR6),H. sapiens,P50406,HTR6,351,Ki
PDIA6 protein,Homo sapiens,Q15084,PDIA6,119,Ki
STAG3-like protein 3 (STAG3L3),human,P0CL85,STAG3L3,93,EC50
MAST3 protein,Human,O60307,MAST3,43,Kd
IGLV4-60 protein,Homo sapiens,A0A075B6I1,IGLV4-60,247,IC50
Disintegrin and metalloproteinase domain-containing protein 9,Homo sapiens,Q13443,ADAM9,171,Kd
Fibroblast growth factor receptor 2,human,P21802,FGFR2,321,IC50
histone h1.2,Homo sapiens,P16403,H1-2,390,EC50
TTLL13,Homo sapiens,A6NNM8,TTLL13,106,Kd
CXCR4 protein,Homo sapiens,P61073,CXCR4,145,EC50
Nuclear envelope pore membrane protein POM 121C,Homo sapiens,A8CG34,POM121C,105,EC50
Tubulin beta 8B,human,A6NNZ2,TUBB8B,387,EC50
riia domain-containing protein 1,H. sapiens,A6NNX1,RIIAD1,74,IC50
BDNF/NT-3 growth factors receptor (NTRK2),Homo sapiens,Q16620,NTRK2,69,Ki
Interleukin-18 receptor 1,human,Q13478,IL18R1,31,Ki
Homeodomain interacting protein kinase 2,human,Q9H2X6,HIPK2,6,IC50
Angiotensin-converting enzyme,Human,P12821,ACE,193,Kd
Aurora kinase A,human,O14965,AURKA,325,Kd
Calcium-activated chloride channel regulator 1 (CLCA1),human,A8K7I4,CLCA1,307,IC50
Host cell factor 1 (HCFC1),Homo sapiens,P51610,HCFC1,173,IC50
Interferon alpha 17,H. sapiens,P01571,IFNA17,72,Kd
Pre-B-cell leukemia transcription factor 1,Human,P40424,PBX1,181,Kd
Histone-lysine N-methyltransferase EZH2,H. sapiens,Q15910,EZH2,181,Kd
Tyrosine-protein kinase SYK (SYK),Human,P43405,SYK,153,Kd
GPR55,H. sapiens,Q9Y2T6,GPR55,332,EC50
Receptor-type tyrosine-protein kinase FLT3 (FLT3),H. sapiens,P36888,FLT3,305,IC50
Prostate-specific antigen,Homo sapiens,P07288,KLK3,71,Ki
Ubiquitin/ISG15-conjugating enzyme E2 L6 (UBE2L6),H. sapiens,O14933,UBE2L6,357,Kd
G antigen 12F,human,P0CL80,GAGE12F,59,EC50
RPL13,human,P26373,RPL13,248,Kd
valine--trna ligase,H. sapiens,P26640,VARS1,132,EC50
PEA15 protein,Homo sapiens,Q15121,PEA15,113,Kd
Rho related GTP binding protein RhoE,Human,P61587,RND3,10,EC50
Mitochondrial inner membrane protein OXA1L,H. sapiens,Q15070,OXA1L,149,EC50
Interferon alpha 13,Homo sapiens,A0A087WWS6,IFNA13,230,EC50
Bestrophin 1,human,O76090,BEST1,392,Kd
FAM106C protein,human,P0CH98,FAM106C,25,EC50
TBC1 domain family member 3I (TBC1D3I),H. sapiens,A0A087WXS9,TBC1D3I,181,Ki
enolase 4,Human,A6NNW6,ENO4,70,EC50
FLT3 protein,Human,P36888,FLT3,379,Kd
tubulin polyglutamylase ttll13,Human,A6NNM8,TTLL13,32,IC50
D(2) dopamine receptor,H. sapiens,P14416,DRD2,108,Kd
Thyroid hormone receptor beta (THRB),human,P10828,THRB,295,Kd
probable non-functional immunoglobulin lambda variable 3-32,Homo sapiens,A0A0A0MS00,IGLV3-32,30,IC50
Dual specificity tyrosine phosphorylation regulated kinase 1B,Homo sapiens,Q9Y463,DYRK1B,312,Kd
DYRK1A,Human,Q13627,DYRK1A,46,Ki
Protein JTB,Human,O76095,JTB,219,EC50
Kinesin heavy chain isoform 5C,Homo sapiens,O60282,KIF5C,197,Ki
Tyrosine-protein phosphatase non-receptor type 11,Human,Q06124,PTPN11,271,Kd
Orexin receptor type 2 (HCRTR2),Human,O43614,HCRTR2,389,Ki
IGKV3-20 protein,H. sapiens,P01619,IGKV3-20,229,Kd
Histone deacetylase 1 (HDAC1),Human,Q13547,HDAC1,367,Ki
STMN1 protein,Homo sapiens,P16949,STMN1,15,EC50
Elongation factor 1-gamma,Human,P26641,EEF1G,319,EC50
MAP3K5 protein,Homo sapiens,Q99683,MAP3K5,151,EC50
NEK2 protein,H. sapiens,P51955,NEK2,109,Ki
KISS1,Human,Q969F8,KISS1,8,EC50
regulator of g protein signaling 20,human,O76081,RGS20,70,Ki
h(+)/cl(-) exchange transporter 4,Homo sapiens,P51793,CLCN4,10,IC50
BRDT protein,H. sapiens,Q58F21,BRDT,365,EC50
Epithelial discoidin domain-containing receptor 1 (DDR1),Human,Q08345,DDR1,375,Ki
early growth response protein 4,H. sapiens,Q05215,EGR4,340,EC50
Lysine-specific histone demethylase 1A (KDM1A),Homo sapiens,O60341,KDM1A,339,IC50
Immunoglobulin kappa constant,H. sapiens,P01834,IGKC,30,Ki
voltage-gated inwardly rectifying potassium channel kcnh2,human,Q12809,KCNH2,128,EC50
Annexin A13,H. sapiens,P27216,ANXA13,182,Kd
NR3C1 protein,Human,P04150,NR3C1,333,IC50
IGKV1-27,Homo sapiens,A0A075B6S5,IGKV1-27,134,Kd
CNR1 protein,Homo sapiens,P21554,CNR1,73,EC50
Deoxycytidine kinase,Human,P27707,DCK,309,Ki
Serine/threonine-protein kinase TBK1,Homo sapiens,A8K4S4,NAK,48,IC50
SMAD family member 4,human,Q13485,SMAD4,169,EC50
Receptor-interacting serine/threonine-protein kinase 2 (RIPK2),human,O43353,RIPK2,329,IC50
Alpha-2A adrenergic receptor,human,B0LPF6,ADRA2R,58,IC50
DDB1- and CUL4-associated factor 7,H. sapiens,P61962,DCAF7,157,Kd
dna-binding protein inhibitor id-1,Human,P41134,ID1,70,EC50
Tyrosine-protein kinase receptor UFO,Human,P30530,AXL,287,EC50
IGLV3-9,Human,A0A075B6K5,IGLV3-9,12,IC50
Prolyl endopeptidase,human,P48147,PREP,131,Ki
ZAR1L protein,human,A6NP61,ZAR1L,17,IC50
Cyclin F,Human,P41002,CCNF,370,Ki
Organic cation/carnitine transporter 2,Human,O76082,SLC22A5,232,IC50
ADRA2A protein,Human,P08913,ADRA2A,169,EC50
"camp and camp-inhibited cgmp 3',5'-cyclic phosphodiesterase 10a",H. sapiens,Q9Y233,PDE10A,246,IC50
"cGMP-specific 3',5'-cyclic phosphodiesterase",human,O76074,PDE5A,287,Kd
Sodium-dependent noradrenaline transporter,H. sapiens,P23975,SLC6A2,91,Ki
puromycin-sensitive aminopeptidase,Human,P55786,NPEPPS,356,EC50
Putative E3 ubiquitin-protein ligase makorin-4,Human,Q13434,MKRN4P,61,EC50
immunoglobulin heavy variable 3-30,Human,P01768,IGHV3-30,188,Kd
Replication factor C subunit 3,human,P40938,RFC3,185,Kd
NCALD protein,Homo sapiens,P61601,NCALD,79,Ki
KLK3 protein,H. sapiens,P07288,KLK3,397,EC50
RIIa domain containing protein 1,Human,A6NNX1,RIIAD1,400,Kd
prefoldin subunit 3,Human,P61758,VBP1,192,Kd
E3 ubiquitin-protein ligase MGRN1 (MGRN1),human,O60291,MGRN1,25,EC50
Transcription factor SOX-15,human,O60248,SOX15,63,Ki
THRB,human,P10828,THRB,258,Ki
PLCG2 protein,H. sapiens,P16885,PLCG2,275,Kd
Coatomer subunit zeta-1 (COPZ1),human,P61923,COPZ1,395,Kd
Mitogen-activated protein kinase kinase kinase 5,Homo sapiens,A6NIA0,ASK1,35,Ki
DUX4L5 protein,Human,P0CJ88,DUX4L5,391,Ki
RFC3 protein,human,P40938,RFC3,111,IC50
Tumor necrosis factor receptor superfamily member 10A,human,O00220,TNFRSF10A,31,EC50
IGLV1-44 protein,human,P01699,IGLV1-44,21,EC50
protein wnt-9b,Homo sapiens,O14905,WNT9B,246,Kd
t cell receptor alpha chain constant,human,P01848,TRAC,154,Ki
Large ribosomal subunit protein eL8 (RPL7A),Human,P62424,RPL7A,289,Ki
Coagulation factor XI,Homo sapiens,P03951,F11,89,Kd
Serum paraoxonase/arylesterase 2,H. sapiens,Q15165,PON2,30,EC50
Polyunsaturated fatty acid lipoxygenase ALOX15,human,P16050,ALOX15,229,IC50
d(2) dopamine receptor,human,P14416,DRD2,182,Ki
serine/arginine repetitive matrix protein 4,human,A7MD48,SRRM4,214,IC50
TRAV9-2 protein,Homo sapiens,A0A087WT02,TRAV9-2,245,EC50
RIIAD1 protein,H. sapiens,A6NNX1,RIIAD1,37,IC50
Natural cytotoxicity triggering receptor 3,H. sapiens,O14931,NCR3,384,Ki
TRAV9-1,H. sapiens,A0A075B6T8,TRAV9-1,246,EC50
FLT3,Human,P36888,FLT3,268,Ki
Max dimerization protein 1 (MXD1),human,Q05195,MXD1,33,Ki
FGFR2 protein,H. sapiens,P21802,FGFR2,247,EC50
immunoglobulin lambda variable 2-11,H. sapiens,P01706,IGLV2-11,246,Ki
SRC protein,Human,P12931,SRC,237,Kd
Interleukin 1 receptor associated kinase 1,Human,P51617,IRAK1,396,EC50
immunoglobulin kappa variable 3d-15,Homo sapiens,A0A087WSY6,IGKV3D-15,314,Ki
Chorionic somatomammotropin hormone 1,human,P0DML2,CSH1,285,Ki
eukaryotic translation initiation factor 4h,H. sapiens,Q15056,EIF4H,74,Kd
Mitochondrial coenzyme A transporter SLC25A16 (SLC25A16),H. sapiens,P16260,SLC25A16,369,Ki
FAP,human,Q12884,FAP,54,Ki
CAMKK2 protein,Human,Q96RR4,CAMKK2,5,EC50
IGHV3-9 protein,H. sapiens,P01782,IGHV3-9,123,Kd
Sine oculis-binding protein homolog (SOBP),human,A7XYQ1,SOBP,167,Kd
ER-alpha,human,P03372,ESR1,132,IC50
transcription factor sp9,human,P0CG40,SP9,92,EC50
Myosin regulatory light chain 12B,Homo sapiens,O14950,MYL12B,362,IC50
ABO protein,H. sapiens,P16442,ABO,361,EC50
MGRN1,human,O60291,MGRN1,388,IC50
IGHG3 protein,Homo sapiens,P01860,IGHG3,69,IC50
"atp synthase f(0) complex subunit g, mitochondrial",Human,O75964,ATP5MG,254,IC50
Serine/threonine-protein kinase pim-3,H. sapiens,Q86V86,PIM3,81,IC50
ADAM9 protein,Human,Q13443,ADAM9,97,EC50
DPP8 protein,human,Q6V1X1,DPP8,91,EC50
Probable proton-coupled zinc antiporter SLC30A4 (SLC30A4),Human,O14863,SLC30A4,13,IC50
ARHGEF6 protein,Human,Q15052,ARHGEF6,49,Kd
POU class 2 homeobox associating factor 3,H. sapiens,A8K830,POU2AF3,235,IC50
Probable non-functional immunoglobulin lambda variable 11-55,human,A0A075B6I3,,8,IC50
IGKV2D-24,H. sapiens,A0A075B6R9,IGKV2D-24,10,Ki
Extracellular calcium-sensing receptor,Human,P41180,CASR,111,EC50
IGKV6D-21 protein,Homo sapiens,A0A0A0MT36,IGKV6D-21,235,Ki
Splicing factor 3B subunit 2,Homo sapiens,Q13435,SF3B2,40,EC50
Interferon alpha-21,Homo sapiens,P01568,IFNA21,293,Kd
Neuromedin-U receptor 2,H. sapiens,Q7LC54,NMU2,172,IC50
Protein SFI1 homolog,H. sapiens,A8K8P3,SFI1,351,EC50
IGKC,Human,P01834,IGKC,356,IC50
Interleukin-2 receptor subunit alpha (IL2RA),Human,P01589,IL2RA,213,Kd
Sodium/glucose cotransporter 2,human,P31639,SLC5A2,249,Kd
Potassium voltage-gated channel subfamily KQT member 2 (KCNQ2),H. sapiens,O43526,KCNQ2,245,Ki
Calreticulin,human,P27797,CALR,383,EC50
Collagenase 3,Human,P45452,MMP13,283,Ki
SETSIP protein,Human,P0DME0,SETSIP,369,EC50
NPEPPS protein,H. sapiens,P55786,NPEPPS,319,Ki
Growth hormone secretagogue receptor type 1 (GHSR),Homo sapiens,Q92847,GHSR,33,Ki
Double homeobox protein 4 like protein 5,Homo sapiens,P0CJ88,DUX4L5,354,Ki
Prolyl endopeptidase FAP (FAP),H. sapiens,Q12884,FAP,91,Kd
IDH2 protein,Human,P48735,IDH2,365,Kd
interleukin-15,human,P40933,IL15,76,IC50
CSNK2A1 protein,Human,P68400,CSNK2A1,265,Kd
SLC1A2 protein,H. sapiens,P43004,SLC1A2,119,Kd
LRRC37A3,Human,O60309,LRRC37A3,128,Ki
Leucine zipper putative tumor suppressor 3 (LZTS3),Homo sapiens,O60299,LZTS3,389,Ki
Probable non functional T cell receptor gamma variable,human,A0A0A0MS02,TRGV1,76,EC50
IGHV3-30 protein,human,P01768,IGHV3-30,151,IC50
SRSF protein kinase 1,Homo sapiens,Q96SB4,SRPK1,169,Kd
HDAC4 protein,Human,P56524,HDAC4,109,IC50
IL2RA,Human,P01589,IL2RA,176,EC50
Neurotensin receptor type 2,Human,O95665,NTSR2,147,Kd
NTSR2 protein,H. sapiens,O95665,NTSR2,73,EC50
REG3A protein,human,Q06141,REG3A,145,IC50
TBK1 protein,Homo sapiens,Q9UHD2,TBK1,117,IC50
Myeloid cell nuclear differentiation antigen,human,P41218,MNDA,309,Kd
Macrophage mannose receptor 1,human,P22897,MRC1,127,Kd
JTB,H. sapiens,O76095,JTB,256,Ki
Polyunsaturated fatty acid 5-lipoxygenase,Human,P09917,ALOX5,117,Kd
Dipeptidyl peptidase 9 (DPP9),human,Q86TI2,DPP9,291,IC50
Interferon beta,Human,P01574,IFNB1,176,IC50
3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2 (HSD3B2),human,P26439,HSD3B2,131,EC50
cyclic amp-responsive element-binding protein 1,Human,P16220,CREB1,116,EC50
Immunoglobulin lambda variable 1-40 (IGLV1-40),human,P01703,IGLV1-40,387,IC50
AP-1 complex subunit sigma-1A (AP1S1),Homo sapiens,P61966,AP1S1,395,EC50
Signal induced proliferation associated 1 like protein 3,Homo sapiens,O60292,SIPA1L3,246,EC50
Beta crystallin B3,H. sapiens,P26998,CRYBB3,192,EC50
fibroblast growth factor receptor 2,Human,P21802,FGFR2,284,IC50
SNAPC2,Human,Q13487,SNAPC2,50,Kd
"cytochrome b-c1 complex subunit 6-like, mitochondrial",human,A0A096LP55,UQCRHL,126,Ki
Histone-lysine N-methyltransferase SETD2 (SETD2),human,Q9BYW2,SETD2,397,EC50
Aldehyde dehydrogenase family 3 member A2 (ALDH3A2),human,P51648,ALDH3A2,29,EC50
SF3B2 protein,H. sapiens,Q13435,SF3B2,77,Ki
"Ras-related protein Rab-34, isoform NARR",H. sapiens,P0DI83,RAB34,331,Kd
BCL2 protein,H. sapiens,P10415,BCL2,141,IC50
VBP1 protein,Human,P61758,VBP1,155,EC50
Gamma-synuclein (SNCG),human,O76070,SNCG,257,IC50
Host cell factor 1,human,P51610,HCFC1,99,IC50
Chymotrypsin-like protease CTRL-1,Human,P40313,CTRL,109,Kd
Immunoglobulin kappa variable 2D-40,human,P01614,IGKV2D-40,257,Kd
ATP6V0C,human,P27449,ATP6V0C,296,Kd
TNP2 protein,H. sapiens,Q05952,TNP2,309,IC50
Mitogen-activated protein kinase 11,human,Q15759,MAPK11,165,Kd
Phosphatidylinositol binding clathrin assembly protein,Human,Q13492,PICALM,134,Ki
HSP90AA1 protein,human,P07900,HSP90AA1,135,EC50
Matrix metalloproteinase-9,Human,P14780,MMP9,149,Kd
DNA repair protein XRCC4,Homo sapiens,Q13426,XRCC4,314,EC50
NEK7 protein,H. sapiens,Q8TDX7,NEK7,91,IC50
Thyroid hormone receptor beta,Homo sapiens,B3KU79,ERBA2,16,Kd
IGLV5-52,Homo sapiens,A0A0A0MRZ9,IGLV5-52,128,EC50
Receptor-interacting serine/threonine-protein kinase 3,H. sapiens,B4DJL9,RIP3,163,Kd
Ankyrin repeat- and BTB/POZ domain-containing protein 3 (ABTB3),human,A6QL63,ABTB3,331,EC50
IGKV1D-12 protein,human,P01611,IGKV1D-12,79,Kd
Large ribosomal subunit protein eL8,Homo sapiens,P62424,RPL7A,326,IC50
Serum amyloid A-2 protein (SAA2),H. sapiens,P0DJI9,SAA2,169,IC50
SLC26A3 protein,Homo sapiens,P40879,SLC26A3,253,IC50
Immunoglobulin lambda variable 5-52 (IGLV5-52),Homo sapiens,A0A0A0MRZ9,IGLV5-52,165,EC50
plasma kallikrein,Human,P03952,KLKB1,358,Kd
Dipeptidyl peptidase 8,Human,Q6V1X1,DPP8,54,IC50
Immunoglobulin lambda variable 1 40,Human,P01703,IGLV1-40,24,Kd
GALR2 protein,human,O43603,GALR2,79,Ki
Leucine-rich repeat-containing protein 37A3 (LRRC37A3),Homo sapiens,O60309,LRRC37A3,165,Kd
Tripartite motif containing protein 49,human,P0CI25,TRIM49,136,EC50
Immunoglobulin lambda variable 2 11,human,P01706,IGLV2-11,172,Ki
IGHV1-45 protein,Homo sapiens,A0A0A0MS14,IGHV1-45,351,IC50
calreticulin,Homo sapiens,P27797,CALR,346,Kd
Immunoglobulin kappa variable 1-27,H. sapiens,A0A075B6S5,IGKV1-27,97,IC50
Glucocorticoid receptor,Human,P04150,NR3C1,7,Ki
KiSS-1 receptor,Human,Q969F8,KISS1R,349,Ki
CD300LB protein,Homo sapiens,A8K4G0,CD300LB,301,Kd
5 hydroxytryptamine receptor 1B,Homo sapiens,P28222,HTR1B,26,Kd
Large ribosomal subunit protein uL13,human,P40429,RPL13A,371,IC50
Leucine-rich repeat-containing protein 37A3,human,O60309,LRRC37A3,91,Ki
EPO protein,Homo sapiens,P01588,EPO,95,IC50
Immunoglobulin kappa variable 1-39,human,P01597,IGKV1-39,207,Ki
IGHE protein,Human,P01854,IGHE,373,Ki
T cell receptor alpha chain constant,Human,P01848,TRAC,191,Ki
SCTR protein,H. sapiens,P47872,SCTR,317,EC50
Beta-crystallin B3,Human,P26998,CRYBB3,303,Ki
Platelet-activating factor acetylhydrolase IB subunit alpha1 (PAFAH1B3),Homo sapiens,Q15102,PAFAH1B3,327,IC50
snrna-activating protein complex subunit 2,H. sapiens,Q13487,SNAPC2,376,Kd
SPEG neighbor protein (SPEGNB),H. sapiens,A0A087WV53,SPEGNB,311,Ki
CTRL,Homo sapiens,P40313,CTRL,146,Ki
NUDT4B protein,Human,A0A024RBG1,NUDT4B,355,Ki
Receptor type tyrosine protein kinase FLT3,human,P36888,FLT3,342,EC50
"Vascular endothelial growth factor A, long form (VEGFA)",Human,P15692,VEGFA,111,EC50
GHSR,Human,Q92847,GHSR,396,EC50
NCR3 protein,Homo sapiens,O14931,NCR3,21,EC50
Sodium channel protein type 10 subunit alpha,Homo sapiens,Q9Y5Y9,SCN10A,129,IC50
Zinc finger protein 705D,Homo sapiens,P0CH99,ZNF705D,271,Kd
Tripartite motif-containing protein 49 (TRIM49),human,P0CI25,TRIM49,99,Ki
SAA2,Homo sapiens,P0DJI9,SAA2,132,EC50
Paired box protein Pax-6 (PAX6),Human,P26367,PAX6,273,Kd
POU class 2 homeobox associating factor 3 (POU2AF3),H. sapiens,A8K830,POU2AF3,309,IC50
26S proteasome regulatory subunit 8 (PSMC5),Human,P62195,PSMC5,77,IC50
Zinc finger protein 888,human,P0CJ79,ZNF888,233,IC50
Immunoglobulin kappa variable 1 33,H. sapiens,P01594,IGKV1-33,272,IC50
tyrosine-protein kinase mer,human,Q12866,MERTK,156,EC50
carbonic anhydrase 12,Human,O43570,CA12,242,Kd
Splicing factor U2AF 65 kDa subunit (U2AF2),Homo sapiens,P26368,U2AF2,309,Ki
SPDYE6 protein,H. sapiens,P0CI01,SPDYE6,369,Kd
SRPK1,human,Q96SB4,SRPK1,206,EC50
Protein ZAR1-like,Homo sapiens,A6NP61,ZAR1L,91,Ki
RAB34 protein,H. sapiens,P0DI83,RAB34,257,Ki
ubiquitin carboxyl-terminal hydrolase 46,H. sapiens,P62068,USP46,356,Kd
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",Homo sapiens,P16885,PLCG2,349,Kd
Interferon alpha-17,Human,P01571,IFNA17,183,EC50
KIAA0040 protein,human,Q15053,KIAA0040,357,Ki
"Succinate-semialdehyde dehydrogenase, mitochondrial",H. sapiens,P51649,ALDH5A1,281,EC50
Potassium voltage-gated channel subfamily KQT member 2,Human,O43526,KCNQ2,171,IC50
Branched-chain alpha-ketoacid dehydrogenase kinase (BCKDK),H. sapiens,O14874,BCKDK,113,Ki
All trans retinol dehydrogenase [NAD(+)] ADH7,Human,P40394,ADH7,150,IC50
Regulator of G protein signaling 20,Homo sapiens,O76081,RGS20,396,Kd
Immunoglobulin lambda variable 3-9 (IGLV3-9),Human,A0A075B6K5,IGLV3-9,49,IC50
Sodium channel protein type 10 subunit alpha (SCN10A),Human,Q9Y5Y9,SCN10A,203,EC50
GOLGA4 protein,human,Q13439,GOLGA4,253,Kd
EEF1A2 protein,Homo sapiens,Q05639,EEF1A2,25,Ki
Immunoglobulin heavy variable 3-30,Homo sapiens,P01768,IGHV3-30,225,IC50
exosome complex component rrp45,human,Q06265,EXOSC9,202,Kd
Procollagen C-endopeptidase enhancer 1,human,Q15113,PCOLCE,61,Ki
"Dihydroorotate dehydrogenase (quinone), mitochondrial",human,Q02127,DHODH,291,Ki
SOBP,human,A7XYQ1,SOBP,130,Kd
RAC-alpha serine/threonine-protein kinase,human,P31749,AKT1,203,Kd
EEA1 protein,Homo sapiens,Q15075,EEA1,87,Ki
SUOX protein,Homo sapiens,P51687,SUOX,7,Kd
Cyclin-dependent kinase 5 activator 1,H. sapiens,Q15078,CDK5R1,9,Kd
Potassium voltage-gated channel subfamily A member 2,H. sapiens,P16389,KCNA2,137,EC50
"Keratin, type I cuticular Ha4",Human,O76011,KRT34,149,IC50
ETV5,Human,P41161,ETV5,390,EC50
SNAPC5 protein,Homo sapiens,O75971,SNAPC5,245,Kd
STXBP1 protein,Homo sapiens,P61764,STXBP1,347,Kd
Tyrosine-protein kinase receptor TYRO3,Human,Q06418,TYRO3,33,IC50
26s proteasome regulatory subunit 10b,H. sapiens,P62333,PSMC6,214,Kd
angiotensin-converting enzyme,human,P12821,ACE,156,EC50
Immunoglobulin lambda variable 8-61,human,A0A075B6I0,IGLV8-61,201,EC50
interferon alpha-2,human,P01563,IFNA2,352,IC50
Inhibitor of nuclear factor kappa B kinase subunit beta,Homo sapiens,O14920,IKBKB,136,Kd
CA12 protein,H. sapiens,O43570,CA12,205,Ki
T cell receptor beta constant 1 (TRBC1),Homo sapiens,P01850,TRBC1,123,Kd
Putative uncharacterized protein encoded by ERC2-IT1,H. sapiens,O76042,ERC2-IT1,119,IC50
Nuclear transport factor 2 (NUTF2),human,P61970,NUTF2,403,IC50
PTH protein,Human,P01270,PTH,13,Ki
FFAR4 protein,Human,Q5NUL3,FFAR4,267,IC50
KCNH2,Homo sapiens,Q12809,KCNH2,202,EC50
Isoform Ik3 of DNA-binding protein Ikaros,Homo sapiens,Q13422-3,IKZF1,13,Kd
URB1 protein,Homo sapiens,O60287,URB1,115,Kd
Immunoglobulin kappa variable 1D-12,H. sapiens,P01611,IGKV1D-12,153,Kd
nociceptin receptor,human,P41146,OPRL1,110,Ki
IFNA5,human,P01569,IFNA5,82,Kd
Immunoglobulin lambda variable 4 3,Human,A0A075B6K6,IGLV4-3,156,EC50
Interferon alpha-2,Human,P01563,IFNA2,389,Kd
Protein JTB (JTB),Human,O76095,JTB,293,IC50
Histone-lysine N-methyltransferase EZH2,human,B2RAQ1,KMT6,71,IC50
Transmembrane 4 L6 family member 5 (TM4SF5),human,O14894,TM4SF5,5,Kd
an1-type zinc finger protein 5,H. sapiens,O76080,ZFAND5,262,Ki
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",Human,P16885,PLCG2,312,IC50
coagulation factor xii,Homo sapiens,P00748,F12,50,IC50
TNF-alpha,human,P01375,TNF,167,IC50
Phosphatidylinositol-binding clathrin assembly protein (PICALM),Human,Q13492,PICALM,97,Kd
elongation factor 1-gamma,Homo sapiens,P26641,EEF1G,282,Kd
Carboxypeptidase E,Human,P16870,CPE,104,Ki
STAT3,human,P40763,STAT3,160,Ki
YJEFN3 protein,H. sapiens,A6XGL0,YJEFN3,277,EC50
Triple functional domain protein,Human,O75962,TRIO,169,Ki
IGLV8-61 protein,human,A0A075B6I0,IGLV8-61,127,EC50
GPM6A protein,H. sapiens,P51674,GPM6A,111,IC50
PPEF1 protein,human,O14829,PPEF1,301,Kd
Interleukin-15,H. sapiens,P40933,IL15,113,Ki
JCHAIN,human,P01591,JCHAIN,366,EC50
Valine--tRNA ligase (VARS1),human,P26640,VARS1,243,Kd
Melanocyte protein PMEL,Human,P40967,PMEL,97,Ki
BEST1 protein,Homo sapiens,O76090,BEST1,29,Ki
ANXA13,H. sapiens,P27216,ANXA13,108,EC50
CTSL protein,Homo sapiens,P07711,CTSL,9,EC50
Neurocalcin-delta (NCALD),H. sapiens,P61601,NCALD,5,IC50
Zinc finger protein 157,H. sapiens,P51786,ZNF157,235,EC50
Xanthine dehydrogenase/oxidase (XDH),Human,P47989,XDH,49,Kd
"ras-related protein rab-34, isoform narr",human,P0DI83,RAB34,294,EC50
VEGFR2,human,P35968,KDR,130,IC50
Lysine specific histone demethylase 1A,Human,O60341,KDM1A,376,Ki
aurora kinase a,Homo sapiens,O14965,AURKA,288,Ki
TRPM8 protein,human,Q7Z2W7,TRPM8,173,Kd
14 3 3 protein theta,Homo sapiens,P27348,YWHAQ,318,Kd
interferon alpha-17,H. sapiens,P01571,IFNA17,146,IC50
ARSD,human,P51689,ARSD,70,Kd
