internal_id,registered_name,gene_symbol,source_db,external_id,uniprot_ref,registered_by,registration_date,status
TGT-1225,Immunoglobulin heavy variable 1-45,IGHV1-45,ChEMBL,,A0A0A0MS14,kwilson,2023-10-04,active
TGT-1467,Sodium channel protein type 10 subunit alpha,SCN10A,ChEMBL,CHEMBL5451,Q9Y5Y9,adas,2025-12-27,active
TGT-1306,Plasma kallikrein,KLKB1,UniProt,CHEMBL2000,P03952,kwilson,2025-06-03,active
TGT-1099,Cathepsin K,CTSK,Manual,CHEMBL268,P43235,lpatel,2022-09-21,active
TGT-1117,Double homeobox protein 4-like protein 3,DUX4L3,ChEMBL,,P0CJ86,lpatel,2024-05-11,active
TGT-1495,Small nuclear ribonucleoprotein Sm D3,SNRPD3,UniProt,CHEMBL5725034,P62318,lpatel,2025-06-12,active
TGT-1298,Lysine-specific demethylase 5C,KDM5C,UniProt,CHEMBL2163176,P41229,jsmith,2020-01-22,active
TGT-1505,Serine/arginine repetitive matrix protein 4,SRRM4,Manual,,A7MD48,lpatel,2025-06-15,active
TGT-1600,Zinc finger protein 888,ZNF888,UniProt,,P0CJ79,jsmith,2020-01-01,active
TGT-1361,Neuromedin-U receptor 2,NMUR2,Manual,CHEMBL1075144,Q9GZQ4,adas,2022-09-18,active
TGT-1250,Immunoglobulin kappa variable 2D-30,IGKV2D-30,UniProt,,A0A075B6S6,lpatel,2021-08-23,active
TGT-1591,AN1-type zinc finger protein 5,ZFAND5,ChEMBL,,O76080,lpatel,2023-04-13,active
TGT-1570,Cytochrome b-c1 complex subunit 8,UQCRQ,ChEMBL,,O14949,jsmith,2020-01-19,active
TGT-1535,T cell receptor alpha variable 23/delta variable 6,TRAV23DV6,ChEMBL,,A0A075B6W5,njain,2020-07-16,active
TGT-1036,Aurora kinase A,AURKA,Manual,CHEMBL4722,O14965,njain,2024-11-05,active
TGT-1027,RNA helicase aquarius,AQR,ChEMBL,,O60306,adas,2020-01-10,active
TGT-1073,Cilia-and flagella-associated protein 96,CFAP96,ChEMBL,,A7E2U8,adas,2022-09-18,active
TGT-1040,Bestrophin-1,BEST1,Manual,,O76090,jsmith,2022-03-03,active
TGT-1287,Interleukin-7 receptor subunit alpha,IL7R,ChEMBL,,P16871,jsmith,2023-04-25,active
TGT-1360,"Nuclear factor of activated T-cells, cytoplasmic 2",NFATC2,UniProt,,Q13469,lpatel,2024-11-08,active
TGT-1514,"Sulfite oxidase, mitochondrial",SUOX,ChEMBL,,P51687,kwilson,2023-10-10,active
TGT-1314,tRNA wybutosine-synthesizing protein 4,LCMT2,ChEMBL,,O60294,jsmith,2023-04-07,active
TGT-1502,Proto-oncogene tyrosine-protein kinase Src,SRC,ChEMBL,CHEMBL267,P12931,jsmith,2024-05-17,active
TGT-1553,Testis-specific Y-encoded protein 4,TSPY4,Manual,,P0CV99,jsmith,2022-03-06,active
TGT-1569,"Cytochrome b-c1 complex subunit 6-like, mitochondrial",UQCRHL,UniProt,,A0A096LP55,jsmith,2023-04-01,active
TGT-1365,Bile acid receptor,NR1H4,UniProt,CHEMBL2047,Q96RI1,jsmith,2023-10-19,active
TGT-1373,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,NUDT4B,ChEMBL,,A0A024RBG1,adas,2023-10-07,active
TGT-1204,Heat shock protein HSP 90-alpha,HSP90AA1,Manual,CHEMBL3880,P07900,njain,2023-10-01,active
TGT-1550,Transient receptor potential cation channel subfamily M member 8,TRPM8,ChEMBL,CHEMBL1075319,Q7Z2W7,adas,2023-04-07,active
TGT-1203,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2,HSD3B2,Manual,CHEMBL3670,P26439,adas,2022-03-12,active
TGT-1120,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,DYRK1A,UniProt,CHEMBL2292,Q13627,kwilson,2021-02-05,active
TGT-1231,Immunoglobulin heavy variable 3-30,IGHV3-30,UniProt,,P01768,adas,2024-11-08,active
TGT-1024,AP-1 complex subunit sigma-1A,AP1S1,ChEMBL,CHEMBL6067198,P61966,lpatel,2021-02-17,active
TGT-1156,Fibroblast growth factor 18,FGF18,Manual,,O76093,kwilson,2021-02-02,active
TGT-1575,Ubiquitin C-terminal hydrolase 7,USP7,UniProt,CHEMBL2157850,Q93009,adas,2020-01-07,active
TGT-1057,Calsequestrin-2,CASQ2,UniProt,,O14958,kwilson,2024-05-05,active
TGT-1101,C-X-C chemokine receptor type 4,CXCR4,ChEMBL,CHEMBL2107,P61073,kwilson,2023-04-10,active
TGT-1431,Prostaglandin G/H synthase 2,PTGS2,UniProt,CHEMBL230,P35354,njain,2023-10-25,active
TGT-1277,Immunoglobulin lambda variable 8-61,IGLV8-61,Manual,,A0A075B6I0,lpatel,2024-11-20,active
TGT-1018,Aldehyde dehydrogenase family 3 member A2,ALDH3A2,Manual,CHEMBL4295779,P51648,njain,2020-07-10,active
TGT-1524,Transmembrane 4 L6 family member 5,TM4SF5,ChEMBL,CHEMBL4523127,O14894,lpatel,2022-09-03,active
TGT-1390,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",PDE10A,Manual,CHEMBL4409,Q9Y233,adas,2025-06-09,active
TGT-1374,Nuclear transport factor 2,NUTF2,ChEMBL,CHEMBL6067085,P61970,adas,2025-12-06,active
TGT-1059,Carbonyl reductase [NADPH] 1,CBR1,UniProt,CHEMBL5586,P16152,kwilson,2025-12-06,active
TGT-1438,Replication factor C subunit 3,RFC3,ChEMBL,CHEMBL5725144,P40938,lpatel,2024-11-26,active
TGT-1562,Polyubiquitin-C,UBC,ChEMBL,CHEMBL4523179,P0CG48,jsmith,2025-06-03,active
TGT-1382,Platelet-activating factor acetylhydrolase IB subunit alpha1,PAFAH1B3,UniProt,CHEMBL5108,Q15102,kwilson,2021-02-14,active
TGT-1105,Deoxycytidine kinase,DCK,ChEMBL,CHEMBL2447,P27707,adas,2020-01-04,active
TGT-1395,Protein disulfide-isomerase A6,PDIA6,UniProt,CHEMBL2146308,Q15084,lpatel,2021-08-17,active
TGT-1076,Neuronal acetylcholine receptor subunit beta-3,CHRNB3,UniProt,CHEMBL2109233,Q05901,kwilson,2025-06-09,active
TGT-1496,Sine oculis-binding protein homolog,SOBP,Manual,,A7XYQ1,adas,2021-02-23,active
TGT-1242,Immunoglobulin kappa variable 1-33,IGKV1-33,UniProt,,P01594,njain,2022-03-12,active
TGT-1352,Neurocalcin-delta,NCALD,ChEMBL,,P61601,adas,2021-08-02,active
TGT-1300,Uncharacterized protein KIAA0040,KIAA0040,UniProt,,Q15053,njain,2024-05-05,active
TGT-1476,Protein SFI1 homolog,SFI1,ChEMBL,,A8K8P3,njain,2020-07-19,active
TGT-1482,Mitochondrial coenzyme A transporter SLC25A16,SLC25A16,Manual,,P16260,njain,2022-09-06,active
TGT-1084,Chloride channel protein ClC-Ka,CLCNKA,ChEMBL,,P51800,jsmith,2023-10-19,active
TGT-1257,Immunoglobulin lambda variable 1-44,IGLV1-44,UniProt,,P01699,kwilson,2022-03-09,active
TGT-1555,Tubulin polyglutamylase TTLL13,TTLL13,UniProt,,A6NNM8,adas,2025-12-18,active
TGT-1149,Protein FAM106C,FAM106C,ChEMBL,,P0CH98,lpatel,2022-03-09,active
TGT-1200,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMGCR,ChEMBL,CHEMBL402,P04035,njain,2022-09-21,active
TGT-1499,Transcription factor Sp9,SP9,Manual,,P0CG40,adas,2025-12-24,active
TGT-1409,Plexin-A3,PLXNA3,UniProt,,P51805,kwilson,2020-07-19,active
TGT-1437,Regenerating islet-derived protein 3-alpha,REG3A,UniProt,,Q06141,jsmith,2022-03-09,active
TGT-1113,Dipeptidyl peptidase 8,DPP8,ChEMBL,CHEMBL4657,Q6V1X1,kwilson,2023-10-25,active
TGT-1364,NAD(P)H dehydrogenase [quinone] 1,NQO1,Manual,CHEMBL3623,P15559,lpatel,2020-01-10,active
TGT-1559,Tyrosine-protein kinase receptor TYRO3,TYRO3,Manual,CHEMBL5314,Q06418,kwilson,2025-12-03,active
TGT-1221,Immunoglobulin heavy constant epsilon,IGHE,ChEMBL,CHEMBL1834,P01854,lpatel,2024-05-02,active
TGT-1226,Immunoglobulin heavy variable 1-46,IGHV1-46,UniProt,,P01743,lpatel,2022-09-09,active
TGT-1387,Protocadherin gamma-A12,PCDHGA12,Manual,,O60330,kwilson,2024-11-17,active
TGT-1207,5-hydroxytryptamine receptor 6,HTR6,UniProt,CHEMBL3371,P50406,kwilson,2021-02-05,active
TGT-1220,Insulin-like growth factor 2,IGF2,UniProt,CHEMBL3712957,P01344,lpatel,2020-01-19,active
TGT-1521,Thyroid hormone receptor beta,THRB,UniProt,CHEMBL1947,P10828,lpatel,2021-02-20,active
TGT-1239,Immunoglobulin kappa constant,IGKC,ChEMBL,,P01834,kwilson,2021-08-26,active
TGT-1037,Tyrosine-protein kinase receptor UFO,AXL,Manual,CHEMBL4895,P30530,njain,2025-06-12,active
TGT-1143,Exosome complex component RRP45,EXOSC9,ChEMBL,CHEMBL5725197,Q06265,njain,2023-04-01,active
TGT-1061,Putative uncharacterized protein CCDC28A-AS1,CCDC28A-AS1,ChEMBL,,A0A096LPI5,kwilson,2024-11-17,active
TGT-1427,26S proteasome regulatory subunit 10B,PSMC6,Manual,CHEMBL3831206,P62333,kwilson,2025-06-15,active
TGT-1473,Histone-lysine N-methyltransferase SETD2,SETD2,Manual,CHEMBL3108647,Q9BYW2,njain,2022-09-12,active
TGT-1317,Leucine-rich repeat and IQ domain-containing protein 3,LRRIQ3,Manual,,A6PVS8,adas,2023-10-01,active
TGT-1064,C-C chemokine receptor type 5,CCR5,UniProt,CHEMBL274,P51681,adas,2020-07-13,active
TGT-1205,"10 kDa heat shock protein, mitochondrial",HSPE1,Manual,CHEMBL3808268,P61604,kwilson,2025-12-27,active
TGT-1174,GTPase IMAP family member GIMD1,GIMD1,Manual,,P0DJR0,kwilson,2024-05-26,active
TGT-1214,Interferon alpha-2,IFNA2,ChEMBL,CHEMBL3713000,P01563,kwilson,2025-12-12,active
TGT-1152,Prolyl endopeptidase FAP,FAP,Manual,CHEMBL4683,Q12884,adas,2021-02-26,active
TGT-1038,Branched-chain alpha-ketoacid dehydrogenase kinase,BCKDK,ChEMBL,CHEMBL4879410,O14874,jsmith,2022-09-12,active
TGT-1052,Multifunctional protein CAD,CAD,ChEMBL,CHEMBL3093,P27708,kwilson,2025-06-03,active
TGT-1323,Dual specificity mitogen-activated protein kinase kinase 7,MAP2K7,Manual,CHEMBL3530,O14733,jsmith,2020-01-07,active
TGT-1453,Large ribosomal subunit protein eL13,RPL13,ChEMBL,CHEMBL6066931,P26373,njain,2020-07-01,active
TGT-1190,Histone H1.3,H1-3,ChEMBL,CHEMBL6066306,P16402,adas,2023-10-25,active
TGT-1319,U6 snRNA-associated Sm-like protein LSm3,LSM3,UniProt,,P62310,adas,2024-05-02,active
TGT-1126,Epidermal growth factor receptor,EGFR,UniProt,CHEMBL203,P00533,jsmith,2024-05-11,active
TGT-1337,Maternal embryonic leucine zipper kinase,MELK,ChEMBL,CHEMBL4578,Q14680,adas,2024-05-02,active
TGT-1172,Somatoliberin,GHRH,UniProt,,P01286,njain,2025-06-06,active
TGT-1401,Serine/threonine-protein kinase pim-1,PIM1,Manual,CHEMBL2147,P11309,adas,2024-05-05,active
TGT-1088,Ciliary neurotrophic factor,CNTF,UniProt,,P26441,jsmith,2021-02-17,active
TGT-1576,Valine--tRNA ligase,VARS1,UniProt,CHEMBL2612,P26640,jsmith,2025-12-03,active
TGT-1464,Serum amyloid A-2 protein,SAA2,UniProt,,P0DJI9,kwilson,2020-07-22,active
TGT-1358,Serine/threonine-protein kinase Nek2,NEK2,UniProt,CHEMBL3835,P51955,adas,2024-05-02,active
TGT-1500,Speedy protein E6,SPDYE6,ChEMBL,,P0CI01,jsmith,2024-05-20,active
TGT-1371,BDNF/NT-3 growth factors receptor,NTRK2,UniProt,CHEMBL4898,Q16620,jsmith,2020-07-04,active
TGT-1481,Organic cation/carnitine transporter 2,SLC22A5,UniProt,CHEMBL2073693,O76082,lpatel,2023-04-25,active
TGT-1303,Mast/stem cell growth factor receptor Kit,KIT,UniProt,CHEMBL1936,P10721,njain,2020-07-01,active
TGT-1106,Epithelial discoidin domain-containing receptor 1,DDR1,Manual,CHEMBL5319,Q08345,jsmith,2022-03-27,active
TGT-1173,Growth hormone secretagogue receptor type 1,GHSR,ChEMBL,CHEMBL4616,Q92847,njain,2021-08-11,active
TGT-1402,Serine/threonine-protein kinase pim-2,PIM2,UniProt,CHEMBL4523,Q9P1W9,jsmith,2024-05-08,active
TGT-1412,Serum paraoxonase/arylesterase 2,PON2,Manual,CHEMBL4295823,Q15165,jsmith,2023-10-19,active
TGT-1266,Immunoglobulin lambda variable 3-19,IGLV3-19,UniProt,,P01714,adas,2021-08-14,active
TGT-1283,Interleukin-1 alpha,IL1A,Manual,CHEMBL3580496,P01583,jsmith,2024-11-17,active
TGT-1527,Tumor necrosis factor,TNF,Manual,CHEMBL1825,P01375,njain,2022-09-06,active
TGT-1497,Transcription factor SOX-15,SOX15,ChEMBL,,O60248,kwilson,2025-06-21,active
TGT-1232,Immunoglobulin heavy variable 3-48,IGHV3-48,ChEMBL,,P01763,adas,2024-05-08,active
TGT-1185,Neuronal membrane glycoprotein M6-b,GPM6B,ChEMBL,,Q13491,jsmith,2023-04-01,active
TGT-1324,Mitogen-activated protein kinase kinase kinase 5,MAP3K5,Manual,CHEMBL5285,Q99683,kwilson,2023-10-01,active
TGT-1491,snRNA-activating protein complex subunit 2,SNAPC2,UniProt,,Q13487,kwilson,2025-12-21,active
TGT-1598,Zinc finger protein 728,ZNF728,Manual,,P0DKX0,lpatel,2025-12-27,active
TGT-1582,Wee1-like protein kinase,WEE1,ChEMBL,CHEMBL5491,P30291,lpatel,2020-01-04,active
TGT-1042,Bone morphogenetic protein receptor type-1A,BMPR1A,ChEMBL,CHEMBL5275,P36894,kwilson,2024-05-14,active
TGT-1556,Protein monoglycylase TTLL8,TTLL8,UniProt,,A6PVC2,jsmith,2022-09-12,active
TGT-1445,RIMS-binding protein 3B,RIMBP3B,Manual,,A6NNM3,kwilson,2022-09-09,active
TGT-1488,SMAD family member 4,SMAD4,Manual,CHEMBL5725109,Q13485,lpatel,2024-11-11,active
TGT-1420,Protein kinase C delta type,PRKCD,ChEMBL,CHEMBL2996,Q05655,adas,2023-10-10,active
TGT-1592,Zinc finger protein OZF,ZNF146,ChEMBL,,Q15072,adas,2024-05-08,active
TGT-1022,Ankyrin repeat domain-containing protein 36A,ANKRD36,Manual,,A6QL64,adas,2021-02-17,active
TGT-1114,Dipeptidyl peptidase 9,DPP9,ChEMBL,CHEMBL4793,Q86TI2,adas,2021-02-23,active
TGT-1542,T cell receptor beta variable 18,TRBV18,ChEMBL,,A0A087X0M5,adas,2020-01-01,active
TGT-1477,Signal-induced proliferation-associated 1-like protein 3,SIPA1L3,Manual,,O60292,jsmith,2021-08-23,active
TGT-1485,Sodium/glucose cotransporter 2,SLC5A2,Manual,CHEMBL3884,P31639,lpatel,2025-12-27,active
TGT-1492,snRNA-activating protein complex subunit 5,SNAPC5,ChEMBL,,O75971,jsmith,2024-05-11,active
TGT-1085,Calmegin,CLGN,ChEMBL,CHEMBL4295653,O14967,kwilson,2025-06-27,active
TGT-1547,Probable non-functional T cell receptor gamma variable 11,TRGV11,UniProt,,A0A075B6L2,adas,2024-05-02,active
TGT-1589,Zinc finger and BTB domain-containing protein 16,ZBTB16,Manual,CHEMBL4105726,Q05516,adas,2022-09-03,active
TGT-1058,Extracellular calcium-sensing receptor,CASR,UniProt,CHEMBL1878,P41180,njain,2025-06-15,active
TGT-1578,Vitamin D3 receptor,VDR,UniProt,CHEMBL1977,P11473,jsmith,2024-05-14,active
TGT-1560,Splicing factor U2AF 65 kDa subunit,U2AF2,ChEMBL,CHEMBL5724607,P26368,kwilson,2022-09-18,active
TGT-1209,DNA-binding protein inhibitor ID-1,ID1,UniProt,CHEMBL1075116,P41134,jsmith,2023-04-04,active
TGT-1523,Mitochondrial import inner membrane translocase subunit Tim23,TIMM23,UniProt,,O14925,kwilson,2021-02-02,active
TGT-1466,Secretagogin,SCGN,ChEMBL,,O76038,lpatel,2021-02-14,active
TGT-1302,KiSS-1 receptor,KISS1R,Manual,CHEMBL5413,Q969F8,lpatel,2024-11-17,active
TGT-1249,Probable non-functional immunoglobulin kappa variable 2D-24,IGKV2D-24,UniProt,,A0A075B6R9,jsmith,2021-02-23,active
TGT-1063,Cyclin-F,CCNF,Manual,,P41002,lpatel,2021-08-26,active
TGT-1100,Procathepsin L,CTSL,UniProt,CHEMBL3837,P07711,jsmith,2022-03-15,active
TGT-1269,Immunoglobulin lambda variable 3-9,IGLV3-9,UniProt,,A0A075B6K5,njain,2020-07-13,active
TGT-1079,Chloride channel protein 2,CLCN2,ChEMBL,CHEMBL1628478,P51788,kwilson,2025-06-09,active
TGT-1223,Immunoglobulin heavy constant gamma 2,IGHG2,UniProt,,P01859,adas,2023-10-01,active
TGT-1155,Free fatty acid receptor 4,FFAR4,Manual,CHEMBL5339,Q5NUL3,lpatel,2021-08-23,active
TGT-1212,Interferon alpha-13,IFNA13,ChEMBL,,A0A087WWS6,jsmith,2023-10-25,active
TGT-1441,Regulator of G protein signaling 2,RGS2,UniProt,,P41220,kwilson,2022-09-24,active
TGT-1189,Histone H1.2,H1-2,Manual,CHEMBL5724671,P16403,njain,2025-06-27,active
TGT-1004,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",ACAP2,ChEMBL,,Q15057,njain,2024-05-05,active
TGT-1134,Erythropoietin,EPO,UniProt,CHEMBL5837,P01588,jsmith,2023-10-04,active
TGT-1312,"Keratin, type I cuticular Ha4",KRT34,Manual,,O76011,jsmith,2025-12-12,active
TGT-1507,Suppression of tumorigenicity 18 protein,ST18,UniProt,,O60284,lpatel,2024-05-17,active
TGT-1366,Glucocorticoid receptor,NR3C1,UniProt,CHEMBL2034,P04150,lpatel,2023-04-04,active
TGT-1051,Voltage-dependent L-type calcium channel subunit alpha-1C,CACNA1C,Manual,CHEMBL1940,Q13936,kwilson,2021-02-14,active
TGT-1407,Phospholipase D2,PLD2,UniProt,CHEMBL2734,O14939,njain,2021-08-11,active
TGT-1184,Neuronal membrane glycoprotein M6-a,GPM6A,ChEMBL,,P51674,njain,2023-10-25,active
TGT-1268,Probable non-functional immunoglobulin lambda variable 3-32,IGLV3-32,Manual,,A0A0A0MS00,lpatel,2025-06-09,active
TGT-1183,Glypican-3,GPC3,ChEMBL,CHEMBL4630889,P51654,jsmith,2021-08-08,active
TGT-1082,H(+)/Cl(-) exchange transporter 5,CLCN5,ChEMBL,,P51795,kwilson,2021-02-20,active
TGT-1391,"cGMP-specific 3',5'-cyclic phosphodiesterase",PDE5A,UniProt,CHEMBL1827,O76074,njain,2025-06-18,active
TGT-1286,Interleukin-6,IL6,Manual,CHEMBL1795129,P05231,jsmith,2024-05-11,active
TGT-1332,Microtubule-associated serine/threonine-protein kinase 3,MAST3,Manual,CHEMBL2417352,O60307,njain,2023-10-07,active
TGT-1587,14-3-3 protein theta,YWHAQ,ChEMBL,CHEMBL3710408,P27348,lpatel,2023-10-07,active
TGT-1166,G antigen 7,GAGE7,UniProt,,O76087,lpatel,2024-11-14,active
TGT-1586,YjeF N-terminal domain-containing protein 3,YJEFN3,Manual,,A6XGL0,jsmith,2024-05-05,active
TGT-1383,Poly [ADP-ribose] polymerase 1,PARP1,ChEMBL,CHEMBL3105,P09874,lpatel,2022-09-21,active
TGT-1023,Annexin A13,ANXA13,Manual,,P27216,jsmith,2021-08-14,active
TGT-1367,Mineralocorticoid receptor,NR3C2,UniProt,CHEMBL1994,P08235,adas,2023-10-25,active
TGT-1393,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",PDE9A,UniProt,CHEMBL3535,O76083,adas,2024-05-11,active
TGT-1433,Focal adhesion kinase 1,PTK2,Manual,CHEMBL2695,Q05397,adas,2024-05-11,active
TGT-1014,Interferon-inducible protein AIM2,AIM2,ChEMBL,CHEMBL4630802,O14862,jsmith,2024-11-08,active
TGT-1546,Probable non-functional T cell receptor gamma variable 10,TRGV10,UniProt,,A0A0A0MS01,kwilson,2020-01-07,active
TGT-1259,Probable non-functional immunoglobulin lambda variable 1-50,IGLV1-50,Manual,,A0A075B6I6,kwilson,2025-12-09,active
TGT-1095,Chorionic somatomammotropin hormone 2,CSH2,Manual,,P0DML3,jsmith,2020-01-19,active
TGT-1165,G antigen 12I,GAGE12I,ChEMBL,,P0CL82,kwilson,2022-09-24,active
TGT-1055,Calcium/calmodulin-dependent protein kinase kinase 2,CAMKK2,Manual,CHEMBL5284,Q96RR4,kwilson,2024-05-08,active
TGT-1411,Nuclear envelope pore membrane protein POM 121C,POM121C,UniProt,,A8CG34,kwilson,2020-01-25,active
TGT-1552,Testis-specific Y-encoded protein 10,TSPY10,Manual,,P0CW01,njain,2021-02-02,active
TGT-1345,Collagenase 3,MMP13,Manual,CHEMBL280,P45452,kwilson,2025-06-21,active
TGT-1513,Syntaxin-binding protein 1,STXBP1,Manual,CHEMBL6067178,P61764,njain,2024-11-11,active
TGT-1045,Bromodomain testis-specific protein,BRDT,UniProt,CHEMBL1795185,Q58F21,adas,2022-03-12,active
TGT-1102,Cytochrome P450 2D7,CYP2D7,Manual,CHEMBL3542437,A0A087X1C5,kwilson,2021-02-20,active
TGT-1281,Interleukin-15,IL15,UniProt,CHEMBL3712954,P40933,kwilson,2025-12-18,active
TGT-1179,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3,GNB3,Manual,,P16520,kwilson,2022-09-09,active
TGT-1078,Calcium-activated chloride channel regulator 1,CLCA1,Manual,CHEMBL2364708,A8K7I4,jsmith,2021-02-05,active
TGT-1415,Peroxisome proliferator-activated receptor gamma,PPARG,UniProt,CHEMBL235,P37231,njain,2024-05-20,active
TGT-1109,Dehydrogenase/reductase SDR family member 7C,DHRS7C,Manual,,A6NNS2,njain,2024-05-26,active
TGT-1196,Histone deacetylase 4,HDAC4,ChEMBL,CHEMBL3524,P56524,jsmith,2023-04-01,active
TGT-1222,Immunoglobulin heavy constant gamma 1,IGHG1,UniProt,,P01857,njain,2022-09-06,active
TGT-1124,Elongation factor 1-alpha 2,EEF1A2,Manual,CHEMBL1795122,Q05639,lpatel,2023-04-22,active
TGT-1083,H(+)/Cl(-) exchange transporter 6,CLCN6,UniProt,,P51797,njain,2020-01-13,active
TGT-1539,T cell receptor alpha variable 9-2,TRAV9-2,ChEMBL,,A0A087WT02,njain,2023-04-10,active
TGT-1294,Voltage-gated inwardly rectifying potassium channel KCNH2,KCNH2,UniProt,CHEMBL240,Q12809,jsmith,2025-12-15,active
TGT-1315,Protein lin-7 homolog A,LIN7A,ChEMBL,,O14910,njain,2021-02-17,active
TGT-1128,Eukaryotic translation initiation factor 4H,EIF4H,Manual,CHEMBL1293274,Q15056,jsmith,2025-06-12,active
TGT-1160,Receptor-type tyrosine-protein kinase FLT3,FLT3,UniProt,CHEMBL1974,P36888,lpatel,2021-08-20,active
TGT-1432,Parathyroid hormone,PTH,ChEMBL,,P01270,kwilson,2024-05-02,active
TGT-1168,Galanin receptor type 2,GALR2,ChEMBL,CHEMBL3176,O43603,lpatel,2021-08-02,active
TGT-1238,Immunoglobulin heavy variable 4-4,IGHV4-4,ChEMBL,,A0A075B6R2,jsmith,2020-07-25,active
