accession,entry_name,gene_names,protein_name,organism,reviewed,length,database
P00519,ABL1_HUMAN,ABL1,Tyrosine-protein kinase ABL1,Homo sapiens (Human),reviewed,1130,Swiss-Prot
Q92847,GHSR_HUMAN,GHSR,Growth hormone secretagogue receptor type 1,Homo sapiens (Human),reviewed,366,Swiss-Prot
O76083,PDE9A_HUMAN,PDE9A,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",Homo sapiens (Human),reviewed,593,Swiss-Prot
P13569,CFTR_HUMAN,CFTR,Cystic fibrosis transmembrane conductance regulator,Homo sapiens (Human),reviewed,1480,Swiss-Prot
P16234,PGFRA_HUMAN,PDGFRA,Platelet-derived growth factor receptor alpha,Homo sapiens (Human),reviewed,1089,Swiss-Prot
P62195,PRS8_HUMAN,PSMC5,26S proteasome regulatory subunit 8,Homo sapiens (Human),reviewed,406,Swiss-Prot
P61803,DAD1_HUMAN,DAD1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,Homo sapiens (Human),reviewed,113,Swiss-Prot
P16871,IL7RA_HUMAN,IL7R,Interleukin-7 receptor subunit alpha,Homo sapiens (Human),reviewed,459,Swiss-Prot
Q05655,KPCD_HUMAN,PRKCD,Protein kinase C delta type,Homo sapiens (Human),reviewed,676,Swiss-Prot
P26951,IL3RA_HUMAN,IL3RA,Interleukin-3 receptor subunit alpha,Homo sapiens (Human),reviewed,378,Swiss-Prot
P27540,ARNT_HUMAN,ARNT,Aryl hydrocarbon receptor nuclear translocator,Homo sapiens (Human),reviewed,789,Swiss-Prot
Q13426,XRCC4_HUMAN,XRCC4,DNA repair protein XRCC4,Homo sapiens (Human),reviewed,336,Swiss-Prot
P01611,KVD12_HUMAN,IGKV1D-12,Immunoglobulin kappa variable 1D-12,Homo sapiens (Human),reviewed,117,Swiss-Prot
A0A087WSY4,HV432_HUMAN,IGHV4-30-2,Immunoglobulin heavy variable 4-30-2,Homo sapiens (Human),reviewed,118,Swiss-Prot
P41146,OPRX_HUMAN,OPRL1,Nociceptin receptor,Homo sapiens (Human),reviewed,370,Swiss-Prot
P01375,TNFA_HUMAN,TNF,Tumor necrosis factor,Homo sapiens (Human),reviewed,233,Swiss-Prot
P51617,IRAK1_HUMAN,IRAK1,Interleukin-1 receptor-associated kinase 1,Homo sapiens (Human),reviewed,712,Swiss-Prot
A6PVC2,TTLL8_HUMAN,TTLL8,Protein monoglycylase TTLL8,Homo sapiens (Human),reviewed,850,Swiss-Prot
A0A075B767,PAL4H_HUMAN,PPIAL4H,Peptidyl-prolyl cis-trans isomerase A-like 4H,Homo sapiens (Human),reviewed,164,Swiss-Prot
A6NC13,A6NC13_HUMAN,CCDC169,Coiled-coil domain-containing protein 169,Homo sapiens (Human),unreviewed,219,TrEMBL
Q9UBN7,HDAC6_HUMAN,HDAC6,Protein deacetylase HDAC6,Homo sapiens (Human),reviewed,1215,Swiss-Prot
P51674,GPM6A_HUMAN,GPM6A,Neuronal membrane glycoprotein M6-a,Homo sapiens (Human),reviewed,278,Swiss-Prot
P27707,DCK_HUMAN,DCK,Deoxycytidine kinase,Homo sapiens (Human),reviewed,260,Swiss-Prot
P0CV99,TSPY4_HUMAN,TSPY4,Testis-specific Y-encoded protein 4,Homo sapiens (Human),reviewed,314,Swiss-Prot
P01767,HV353_HUMAN,IGHV3-53,Immunoglobulin heavy variable 3-53,Homo sapiens (Human),reviewed,116,Swiss-Prot
P21397,AOFA_HUMAN,MAOA,Amine oxidase [flavin-containing] A,Homo sapiens (Human),reviewed,527,Swiss-Prot
Q5NUL3,FFAR4_HUMAN,FFAR4,Free fatty acid receptor 4,Homo sapiens (Human),reviewed,361,Swiss-Prot
O76090,BEST1_HUMAN,BEST1,Bestrophin-1,Homo sapiens (Human),reviewed,585,Swiss-Prot
P41143,OPRD_HUMAN,OPRD1,Delta-type opioid receptor,Homo sapiens (Human),reviewed,372,Swiss-Prot
P26641,EF1G_HUMAN,EEF1G,Elongation factor 1-gamma,Homo sapiens (Human),reviewed,437,Swiss-Prot
P47989,XDH_HUMAN,XDH,Xanthine dehydrogenase/oxidase,Homo sapiens (Human),reviewed,1333,Swiss-Prot
P78536,ADA17_HUMAN,ADAM17,Disintegrin and metalloproteinase domain-containing protein 17,Homo sapiens (Human),reviewed,824,Swiss-Prot
P01567,IFNA7_HUMAN,IFNA7,Interferon alpha-7,Homo sapiens (Human),reviewed,189,Swiss-Prot
P01594,KV133_HUMAN,IGKV1-33,Immunoglobulin kappa variable 1-33,Homo sapiens (Human),reviewed,117,Swiss-Prot
Q9Y2T6,GPR55_HUMAN,GPR55,G protein-coupled receptor 55,Homo sapiens (Human),reviewed,319,Swiss-Prot
P51649,SSDH_HUMAN,ALDH5A1,"Succinate-semialdehyde dehydrogenase, mitochondrial",Homo sapiens (Human),reviewed,535,Swiss-Prot
P15121,ALDR_HUMAN,AKR1B1,Aldo-keto reductase family 1 member B1,Homo sapiens (Human),reviewed,316,Swiss-Prot
P41002,CCNF_HUMAN,CCNF,Cyclin-F,Homo sapiens (Human),reviewed,786,Swiss-Prot
A0A024RBG1,NUD4B_HUMAN,NUDT4B,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,Homo sapiens (Human),reviewed,181,Swiss-Prot
A0A075B6L2,TVG11_HUMAN,TRGV11,Probable non-functional T cell receptor gamma variable 11,Homo sapiens (Human),reviewed,119,Swiss-Prot
P01732,CD8A_HUMAN,CD8A,T-cell surface glycoprotein CD8 alpha chain,Homo sapiens (Human),reviewed,235,Swiss-Prot
P04035,HMDH_HUMAN,HMGCR,3-hydroxy-3-methylglutaryl-coenzyme A reductase,Homo sapiens (Human),reviewed,888,Swiss-Prot
P61960,UFM1_HUMAN,UFM1,Ubiquitin-fold modifier 1,Homo sapiens (Human),reviewed,85,Swiss-Prot
Q9GZQ4,NMUR2_HUMAN,NMUR2,Neuromedin-U receptor 2,Homo sapiens (Human),reviewed,415,Swiss-Prot
P30530,UFO_HUMAN,AXL,Tyrosine-protein kinase receptor UFO,Homo sapiens (Human),reviewed,894,Swiss-Prot
P01275,GLUC_HUMAN,GCG,Pro-glucagon,Homo sapiens (Human),reviewed,180,Swiss-Prot
P53778,MK12_HUMAN,MAPK12,Mitogen-activated protein kinase 12,Homo sapiens (Human),reviewed,367,Swiss-Prot
P01350,GAST_HUMAN,GAST,Gastrin,Homo sapiens (Human),reviewed,101,Swiss-Prot
P01764,HV323_HUMAN,IGHV3-23,Immunoglobulin heavy variable 3-23,Homo sapiens (Human),reviewed,117,Swiss-Prot
P01574,IFNB_HUMAN,IFNB1,Interferon beta,Homo sapiens (Human),reviewed,187,Swiss-Prot
Q05397,FAK1_HUMAN,PTK2,Focal adhesion kinase 1,Homo sapiens (Human),reviewed,1052,Swiss-Prot
A6NNL0,NTM2B_HUMAN,NUTM2B,NUT family member 2B,Homo sapiens (Human),reviewed,878,Swiss-Prot
P0DJD7,PEPA4_HUMAN,PGA4,Pepsin A-4,Homo sapiens (Human),reviewed,388,Swiss-Prot
O76062,ERG24_HUMAN,TM7SF2,Delta(14)-sterol reductase TM7SF2,Homo sapiens (Human),reviewed,418,Swiss-Prot
P01824,HV439_HUMAN,IGHV4-39,Immunoglobulin heavy variable 4-39,Homo sapiens (Human),reviewed,125,Swiss-Prot
Q8NBP7,PCSK9_HUMAN,PCSK9,Proprotein convertase subtilisin/kexin type 9,Homo sapiens (Human),reviewed,692,Swiss-Prot
Q06141,REG3A_HUMAN,REG3A,Regenerating islet-derived protein 3-alpha,Homo sapiens (Human),reviewed,175,Swiss-Prot
Q13490,BIRC2_HUMAN,BIRC2,Baculoviral IAP repeat-containing protein 2,Homo sapiens (Human),reviewed,618,Swiss-Prot
P27708,PYR1_HUMAN,CAD,Multifunctional protein CAD,Homo sapiens (Human),reviewed,2225,Swiss-Prot
A0A087WT02,TVA92_HUMAN,TRAV9-2,T cell receptor alpha variable 9-2,Homo sapiens (Human),reviewed,112,Swiss-Prot
Q15057,ACAP2_HUMAN,ACAP2,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",Homo sapiens (Human),reviewed,778,Swiss-Prot
Q9H2X6,HIPK2_HUMAN,HIPK2,Homeodomain-interacting protein kinase 2,Homo sapiens (Human),reviewed,1198,Swiss-Prot
O60336,MABP1_HUMAN,MAPKBP1,Mitogen-activated protein kinase-binding protein 1,Homo sapiens (Human),reviewed,1514,Swiss-Prot
P01768,HV330_HUMAN,IGHV3-30,Immunoglobulin heavy variable 3-30,Homo sapiens (Human),reviewed,117,Swiss-Prot
A0A087WSX0,LV545_HUMAN,IGLV5-45,Immunoglobulin lambda variable 5-45,Homo sapiens (Human),reviewed,123,Swiss-Prot
A6NNZ2,TBB8B_HUMAN,TUBB8B,Tubulin beta 8B,Homo sapiens (Human),reviewed,444,Swiss-Prot
O14936,CSKP_HUMAN,CASK,Peripheral plasma membrane protein CASK,Homo sapiens (Human),reviewed,926,Swiss-Prot
P08581,MET_HUMAN,MET,Hepatocyte growth factor receptor,Homo sapiens (Human),reviewed,1390,Swiss-Prot
P01714,LV319_HUMAN,IGLV3-19,Immunoglobulin lambda variable 3-19,Homo sapiens (Human),reviewed,112,Swiss-Prot
O14901,KLF11_HUMAN,KLF11,Krueppel-like factor 11,Homo sapiens (Human),reviewed,512,Swiss-Prot
P51684,CCR6_HUMAN,CCR6,C-C chemokine receptor type 6,Homo sapiens (Human),reviewed,374,Swiss-Prot
A4FU41,A4FU41_HUMAN,ABTB3,Ankyrin repeat- and BTB/POZ domain-containing protein 3,Homo sapiens (Human),unreviewed,1109,TrEMBL
P01704,LV214_HUMAN,IGLV2-14,Immunoglobulin lambda variable 2-14,Homo sapiens (Human),reviewed,120,Swiss-Prot
A6XGL0,YJEN3_HUMAN,YJEFN3,YjeF N-terminal domain-containing protein 3,Homo sapiens (Human),reviewed,299,Swiss-Prot
O60248,SOX15_HUMAN,SOX15,Transcription factor SOX-15,Homo sapiens (Human),reviewed,233,Swiss-Prot
Q9Y463,DYR1B_HUMAN,DYRK1B,Dual specificity tyrosine-phosphorylation-regulated kinase 1B,Homo sapiens (Human),reviewed,629,Swiss-Prot
Q05901,ACHB3_HUMAN,CHRNB3,Neuronal acetylcholine receptor subunit beta-3,Homo sapiens (Human),reviewed,458,Swiss-Prot
O14905,WNT9B_HUMAN,WNT9B,Protein Wnt-9b,Homo sapiens (Human),reviewed,357,Swiss-Prot
O76082,S22A5_HUMAN,SLC22A5,Organic cation/carnitine transporter 2,Homo sapiens (Human),reviewed,557,Swiss-Prot
A7MCY6,TBKB1_HUMAN,TBKBP1,TANK-binding kinase 1-binding protein 1,Homo sapiens (Human),reviewed,615,Swiss-Prot
P03952,KLKB1_HUMAN,KLKB1,Plasma kallikrein,Homo sapiens (Human),reviewed,638,Swiss-Prot
O95665,NTR2_HUMAN,NTSR2,Neurotensin receptor type 2,Homo sapiens (Human),reviewed,410,Swiss-Prot
P0CI25,TRI49_HUMAN,TRIM49,Tripartite motif-containing protein 49,Homo sapiens (Human),reviewed,452,Swiss-Prot
Q06265,EXOS9_HUMAN,EXOSC9,Exosome complex component RRP45,Homo sapiens (Human),reviewed,439,Swiss-Prot
Q14164,IKKE_HUMAN,IKBKE,Inhibitor of nuclear factor kappa-B kinase subunit epsilon,Homo sapiens (Human),reviewed,716,Swiss-Prot
A8K7I4,CLCA1_HUMAN,CLCA1,Calcium-activated chloride channel regulator 1,Homo sapiens (Human),reviewed,914,Swiss-Prot
P01743,HV146_HUMAN,IGHV1-46,Immunoglobulin heavy variable 1-46,Homo sapiens (Human),reviewed,117,Swiss-Prot
Q13492,PICAL_HUMAN,PICALM,Phosphatidylinositol-binding clathrin assembly protein,Homo sapiens (Human),reviewed,652,Swiss-Prot
P0DJI9,SAA2_HUMAN,SAA2,Serum amyloid A-2 protein,Homo sapiens (Human),reviewed,122,Swiss-Prot
A7XYQ1,SOBP_HUMAN,SOBP,Sine oculis-binding protein homolog,Homo sapiens (Human),reviewed,873,Swiss-Prot
O60294,TYW4_HUMAN,LCMT2,tRNA wybutosine-synthesizing protein 4,Homo sapiens (Human),reviewed,686,Swiss-Prot
Q13627,DYR1A_HUMAN,DYRK1A,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,Homo sapiens (Human),reviewed,763,Swiss-Prot
Q01959,SC6A3_HUMAN,SLC6A3,Sodium-dependent dopamine transporter,Homo sapiens (Human),reviewed,620,Swiss-Prot
P62318,SMD3_HUMAN,SNRPD3,Small nuclear ribonucleoprotein Sm D3,Homo sapiens (Human),reviewed,126,Swiss-Prot
P61923,COPZ1_HUMAN,COPZ1,Coatomer subunit zeta-1,Homo sapiens (Human),reviewed,177,Swiss-Prot
Q05823,RN5A_HUMAN,RNASEL,2-5A-dependent ribonuclease,Homo sapiens (Human),reviewed,741,Swiss-Prot
O60309,L37A3_HUMAN,LRRC37A3,Leucine-rich repeat-containing protein 37A3,Homo sapiens (Human),reviewed,1634,Swiss-Prot
P29317,EPHA2_HUMAN,EPHA2,Ephrin type-A receptor 2,Homo sapiens (Human),reviewed,976,Swiss-Prot
P40763,STAT3_HUMAN,STAT3,Signal transducer and activator of transcription 3,Homo sapiens (Human),reviewed,770,Swiss-Prot
P10828,THB_HUMAN,THRB,Thyroid hormone receptor beta,Homo sapiens (Human),reviewed,461,Swiss-Prot
Q9NTG7,SIR3_HUMAN,SIRT3,"NAD-dependent protein deacetylase sirtuin-3, mitochondrial",Homo sapiens (Human),reviewed,399,Swiss-Prot
P51786,ZN157_HUMAN,ZNF157,Zinc finger protein 157,Homo sapiens (Human),reviewed,506,Swiss-Prot
P11473,VDR_HUMAN,VDR,Vitamin D3 receptor,Homo sapiens (Human),reviewed,427,Swiss-Prot
A6NP61,ZAR1L_HUMAN,ZAR1L,Protein ZAR1-like,Homo sapiens (Human),reviewed,321,Swiss-Prot
A0A075B6I1,LV460_HUMAN,IGLV4-60,Immunoglobulin lambda variable 4-60,Homo sapiens (Human),reviewed,120,Swiss-Prot
P41220,RGS2_HUMAN,RGS2,Regulator of G protein signaling 2,Homo sapiens (Human),reviewed,211,Swiss-Prot
P00533,EGFR_HUMAN,EGFR,Epidermal growth factor receptor,Homo sapiens (Human),reviewed,1210,Swiss-Prot
P04637,P53_HUMAN,TP53,Cellular tumor antigen p53,Homo sapiens (Human),reviewed,393,Swiss-Prot
P27695,APEX1_HUMAN,APEX1,DNA repair nuclease/redox regulator APEX1,Homo sapiens (Human),reviewed,318,Swiss-Prot
P16473,TSHR_HUMAN,TSHR,Thyrotropin receptor,Homo sapiens (Human),reviewed,764,Swiss-Prot
A0A087WV62,TVB16_HUMAN,TRBV16,T cell receptor beta variable 16,Homo sapiens (Human),reviewed,115,Swiss-Prot
O14931,NCTR3_HUMAN,NCR3,Natural cytotoxicity triggering receptor 3,Homo sapiens (Human),reviewed,201,Swiss-Prot
P25440,BRD2_HUMAN,BRD2,Bromodomain-containing protein 2,Homo sapiens (Human),reviewed,801,Swiss-Prot
Q06033,ITIH3_HUMAN,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,Homo sapiens (Human),reviewed,890,Swiss-Prot
O14929,HAT1_HUMAN,HAT1,Histone acetyltransferase type B catalytic subunit,Homo sapiens (Human),reviewed,419,Swiss-Prot
A8K2U0,A2ML1_HUMAN,A2ML1,Alpha-2-macroglobulin-like protein 1,Homo sapiens (Human),reviewed,1454,Swiss-Prot
Q96RI1,NR1H4_HUMAN,NR1H4,Bile acid receptor,Homo sapiens (Human),reviewed,486,Swiss-Prot
P40938,RFC3_HUMAN,RFC3,Replication factor C subunit 3,Homo sapiens (Human),reviewed,356,Swiss-Prot
P07900,HS90A_HUMAN,HSP90AA1,Heat shock protein HSP 90-alpha,Homo sapiens (Human),reviewed,732,Swiss-Prot
Q05923,DUSP2_HUMAN,DUSP2,Dual specificity protein phosphatase 2,Homo sapiens (Human),reviewed,314,Swiss-Prot
P01270,PTHY_HUMAN,PTH,Parathyroid hormone,Homo sapiens (Human),reviewed,115,Swiss-Prot
O43526,KCNQ2_HUMAN,KCNQ2,Potassium voltage-gated channel subfamily KQT member 2,Homo sapiens (Human),reviewed,872,Swiss-Prot
O60296,TRAK2_HUMAN,TRAK2,Trafficking kinesin-binding protein 2,Homo sapiens (Human),reviewed,914,Swiss-Prot
P16220,CREB1_HUMAN,CREB1,Cyclic AMP-responsive element-binding protein 1,Homo sapiens (Human),reviewed,327,Swiss-Prot
O14842,FFAR1_HUMAN,FFAR1,Free fatty acid receptor 1,Homo sapiens (Human),reviewed,300,Swiss-Prot
O14828,SCAM3_HUMAN,SCAMP3,Secretory carrier-associated membrane protein 3,Homo sapiens (Human),reviewed,347,Swiss-Prot
A0A0A0MS00,LV332_HUMAN,IGLV3-32,Probable non-functional immunoglobulin lambda variable 3-32,Homo sapiens (Human),reviewed,114,Swiss-Prot
P61970,NTF2_HUMAN,NUTF2,Nuclear transport factor 2,Homo sapiens (Human),reviewed,127,Swiss-Prot
P53779,MK10_HUMAN,MAPK10,Mitogen-activated protein kinase 10,Homo sapiens (Human),reviewed,464,Swiss-Prot
A6NNT2,CP096_HUMAN,C16orf96,Uncharacterized protein C16orf96,Homo sapiens (Human),reviewed,1141,Swiss-Prot
P41222,PTGDS_HUMAN,PTGDS,Prostaglandin-H2 D-isomerase,Homo sapiens (Human),reviewed,190,Swiss-Prot
P01619,KV320_HUMAN,IGKV3-20,Immunoglobulin kappa variable 3-20,Homo sapiens (Human),reviewed,116,Swiss-Prot
P01591,IGJ_HUMAN,JCHAIN,Immunoglobulin J chain,Homo sapiens (Human),reviewed,159,Swiss-Prot
Q92731,ESR2_HUMAN,ESR2,Estrogen receptor beta,Homo sapiens (Human),reviewed,530,Swiss-Prot
P43405,KSYK_HUMAN,SYK,Tyrosine-protein kinase SYK,Homo sapiens (Human),reviewed,635,Swiss-Prot
O60304,ZN500_HUMAN,ZNF500,Zinc finger protein 500,Homo sapiens (Human),reviewed,480,Swiss-Prot
P62312,LSM6_HUMAN,LSM6,U6 snRNA-associated Sm-like protein LSm6,Homo sapiens (Human),reviewed,80,Swiss-Prot
Q13491,GPM6B_HUMAN,GPM6B,Neuronal membrane glycoprotein M6-b,Homo sapiens (Human),reviewed,265,Swiss-Prot
Q9BY41,HDAC8_HUMAN,HDAC8,Histone deacetylase 8,Homo sapiens (Human),reviewed,377,Swiss-Prot
A0A075B6H9,LV469_HUMAN,IGLV4-69,Immunoglobulin lambda variable 4-69,Homo sapiens (Human),reviewed,119,Swiss-Prot
P40305,IFI27_HUMAN,IFI27,"Interferon alpha-inducible protein 27, mitochondrial",Homo sapiens (Human),reviewed,122,Swiss-Prot
P51808,DYLT3_HUMAN,DYNLT3,Dynein light chain Tctex-type 3,Homo sapiens (Human),reviewed,116,Swiss-Prot
O76041,NEBL_HUMAN,NEBL,Nebulette,Homo sapiens (Human),reviewed,1014,Swiss-Prot
Q05516,ZBT16_HUMAN,ZBTB16,Zinc finger and BTB domain-containing protein 16,Homo sapiens (Human),reviewed,673,Swiss-Prot
A7E2Y1,MYH7B_HUMAN,MYH7B,Myosin-7B,Homo sapiens (Human),reviewed,1983,Swiss-Prot
P16444,DPEP1_HUMAN,DPEP1,Dipeptidase 1,Homo sapiens (Human),reviewed,411,Swiss-Prot
P51790,CLCN3_HUMAN,CLCN3,H(+)/Cl(-) exchange transporter 3,Homo sapiens (Human),reviewed,818,Swiss-Prot
Q9Y233,PDE10_HUMAN,PDE10A,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",Homo sapiens (Human),reviewed,1055,Swiss-Prot
O14874,BCKD_HUMAN,BCKDK,Branched-chain alpha-ketoacid dehydrogenase kinase,Homo sapiens (Human),reviewed,412,Swiss-Prot
O14920,IKKB_HUMAN,IKBKB,Inhibitor of nuclear factor kappa-B kinase subunit beta,Homo sapiens (Human),reviewed,756,Swiss-Prot
P09874,PARP1_HUMAN,PARP1,Poly [ADP-ribose] polymerase 1,Homo sapiens (Human),reviewed,1014,Swiss-Prot
P0CH98,F106C_HUMAN,FAM106C,Protein FAM106C,Homo sapiens (Human),reviewed,169,Swiss-Prot
P16442,BGAT_HUMAN,ABO,Histo-blood group ABO system transferase,Homo sapiens (Human),reviewed,354,Swiss-Prot
P04626,ERBB2_HUMAN,ERBB2,Receptor tyrosine-protein kinase erbB-2,Homo sapiens (Human),reviewed,1255,Swiss-Prot
P51788,CLCN2_HUMAN,CLCN2,Chloride channel protein 2,Homo sapiens (Human),reviewed,898,Swiss-Prot
A0A0A0MRZ9,LV552_HUMAN,IGLV5-52,Immunoglobulin lambda variable 5-52,Homo sapiens (Human),reviewed,124,Swiss-Prot
O76095,JTB_HUMAN,JTB,Protein JTB,Homo sapiens (Human),reviewed,146,Swiss-Prot
P10415,BCL2_HUMAN,BCL2,Apoptosis regulator Bcl-2,Homo sapiens (Human),reviewed,239,Swiss-Prot
Q9P1W9,PIM2_HUMAN,PIM2,Serine/threonine-protein kinase pim-2,Homo sapiens (Human),reviewed,311,Swiss-Prot
B3KXG3,B3KXG3_HUMAN,ABTB3,Ankyrin repeat- and BTB/POZ domain-containing protein 3,Homo sapiens (Human),unreviewed,1109,TrEMBL
P16452,EPB42_HUMAN,EPB42,Protein 4.2,Homo sapiens (Human),reviewed,691,Swiss-Prot
A6PVL3,KNCN_HUMAN,KNCN,Kinocilin,Homo sapiens (Human),reviewed,124,Swiss-Prot
P01599,KV117_HUMAN,IGKV1-17,Immunoglobulin kappa variable 1-17,Homo sapiens (Human),reviewed,117,Swiss-Prot
Q15121,PEA15_HUMAN,PEA15,Astrocytic phosphoprotein PEA-15,Homo sapiens (Human),reviewed,130,Swiss-Prot
A0A087WXS9,TBC3I_HUMAN,TBC1D3I,TBC1 domain family member 3I,Homo sapiens (Human),reviewed,549,Swiss-Prot
Q15109,RAGE_HUMAN,AGER,Advanced glycation end product-specific receptor,Homo sapiens (Human),reviewed,404,Swiss-Prot
P01817,HV205_HUMAN,IGHV2-5,Immunoglobulin heavy variable 2-5,Homo sapiens (Human),reviewed,119,Swiss-Prot
P01562,P01562_HUMAN,IFNA13,Interferon alpha-13,Homo sapiens (Human),unreviewed,195,TrEMBL
Q99683,M3K5_HUMAN,MAP3K5,Mitogen-activated protein kinase kinase kinase 5,Homo sapiens (Human),reviewed,1374,Swiss-Prot
P26717,NKG2C_HUMAN,KLRC2,NKG2-C type II integral membrane protein,Homo sapiens (Human),reviewed,231,Swiss-Prot
A5JW41,A5JW41_HUMAN,HNF4A,Hepatocyte nuclear factor 4-alpha,Homo sapiens (Human),unreviewed,479,TrEMBL
P26436,ASPX_HUMAN,ACRV1,Acrosomal protein SP-10,Homo sapiens (Human),reviewed,265,Swiss-Prot
P19793,RXRA_HUMAN,RXRA,Retinoic acid receptor RXR-alpha,Homo sapiens (Human),reviewed,462,Swiss-Prot
D4Q9M8,D4Q9M8_HUMAN,IFNA13,Interferon alpha-13,Homo sapiens (Human),unreviewed,195,TrEMBL
A0A075B6I6,LV150_HUMAN,IGLV1-50,Probable non-functional immunoglobulin lambda variable 1-50,Homo sapiens (Human),reviewed,118,Swiss-Prot
P01706,LV211_HUMAN,IGLV2-11,Immunoglobulin lambda variable 2-11,Homo sapiens (Human),reviewed,119,Swiss-Prot
P01859,IGHG2_HUMAN,IGHG2,Immunoglobulin heavy constant gamma 2,Homo sapiens (Human),reviewed,395,Swiss-Prot
O76011,KRT34_HUMAN,KRT34,"Keratin, type I cuticular Ha4",Homo sapiens (Human),reviewed,394,Swiss-Prot
O60292,SI1L3_HUMAN,SIPA1L3,Signal-induced proliferation-associated 1-like protein 3,Homo sapiens (Human),reviewed,1781,Swiss-Prot
P51610,HCFC1_HUMAN,HCFC1,Host cell factor 1,Homo sapiens (Human),reviewed,2035,Swiss-Prot
P31639,SC5A2_HUMAN,SLC5A2,Sodium/glucose cotransporter 2,Homo sapiens (Human),reviewed,672,Swiss-Prot
Q13434,MKRN4_HUMAN,MKRN4P,Putative E3 ubiquitin-protein ligase makorin-4,Homo sapiens (Human),reviewed,485,Swiss-Prot
P16403,H12_HUMAN,H1-2,Histone H1.2,Homo sapiens (Human),reviewed,213,Swiss-Prot
A0A075B734,AQP7B_HUMAN,AQP7B,Putative aquaporin-7B,Homo sapiens (Human),reviewed,346,Swiss-Prot
O60269,GRIN2_HUMAN,GPRIN2,G protein-regulated inducer of neurite outgrowth 2,Homo sapiens (Human),reviewed,458,Swiss-Prot
O76042,ERIT1_HUMAN,ERC2-IT1,Putative uncharacterized protein encoded by ERC2-IT1,Homo sapiens (Human),reviewed,136,Swiss-Prot
P26441,CNTF_HUMAN,CNTF,Ciliary neurotrophic factor,Homo sapiens (Human),reviewed,200,Swiss-Prot
P01286,SLIB_HUMAN,GHRH,Somatoliberin,Homo sapiens (Human),reviewed,108,Swiss-Prot
P08922,ROS1_HUMAN,ROS1,Proto-oncogene tyrosine-protein kinase ROS,Homo sapiens (Human),reviewed,2347,Swiss-Prot
P27448,MARK3_HUMAN,MARK3,MAP/microtubule affinity-regulating kinase 3,Homo sapiens (Human),reviewed,753,Swiss-Prot
A8K4G0,CLM7_HUMAN,CD300LB,CMRF35-like molecule 7,Homo sapiens (Human),reviewed,201,Swiss-Prot
P16435,NCPR_HUMAN,POR,NADPH--cytochrome P450 reductase,Homo sapiens (Human),reviewed,677,Swiss-Prot
P07711,CATL1_HUMAN,CTSL,Procathepsin L,Homo sapiens (Human),reviewed,333,Swiss-Prot
P51668,UB2D1_HUMAN,UBE2D1,Ubiquitin-conjugating enzyme E2 D1,Homo sapiens (Human),reviewed,147,Swiss-Prot
O60306,AQR_HUMAN,AQR,RNA helicase aquarius,Homo sapiens (Human),reviewed,1485,Swiss-Prot
A0A087WT01,TVA27_HUMAN,TRAV27,T cell receptor alpha variable 27,Homo sapiens (Human),reviewed,109,Swiss-Prot
O75964,ATP5L_HUMAN,ATP5MG,"ATP synthase F(0) complex subunit g, mitochondrial",Homo sapiens (Human),reviewed,103,Swiss-Prot
P04629,NTRK1_HUMAN,NTRK1,High affinity nerve growth factor receptor,Homo sapiens (Human),reviewed,796,Swiss-Prot
A0A0A0MS14,HV145_HUMAN,IGHV1-45,Immunoglobulin heavy variable 1-45,Homo sapiens (Human),reviewed,117,Swiss-Prot
Q13546,RIPK1_HUMAN,RIPK1,Receptor-interacting serine/threonine-protein kinase 1,Homo sapiens (Human),reviewed,671,Swiss-Prot
P61619,S61A1_HUMAN,SEC61A1,Protein transport protein Sec61 subunit alpha isoform 1,Homo sapiens (Human),reviewed,476,Swiss-Prot
P41218,MNDA_HUMAN,MNDA,Myeloid cell nuclear differentiation antigen,Homo sapiens (Human),reviewed,407,Swiss-Prot
P26373,RL13_HUMAN,RPL13,Large ribosomal subunit protein eL13,Homo sapiens (Human),reviewed,211,Swiss-Prot
Q13432,U119A_HUMAN,UNC119,Protein unc-119 homolog A,Homo sapiens (Human),reviewed,240,Swiss-Prot
P51671,CCL11_HUMAN,CCL11,Eotaxin,Homo sapiens (Human),reviewed,97,Swiss-Prot
P01597,KV139_HUMAN,IGKV1-39,Immunoglobulin kappa variable 1-39,Homo sapiens (Human),reviewed,117,Swiss-Prot
Q13422-3,IKZF1_HUMAN,IKZF1,Isoform Ik3 of DNA-binding protein Ikaros,Homo sapiens (Human),reviewed,432,Swiss-Prot
P26374,RAE2_HUMAN,CHML,Rab proteins geranylgeranyltransferase component A 2,Homo sapiens (Human),reviewed,656,Swiss-Prot
A8K5M9,CO062_HUMAN,C15orf62,"Uncharacterized protein C15orf62, mitochondrial",Homo sapiens (Human),reviewed,175,Swiss-Prot
A8K554,ZN815_HUMAN,ZNF815P,Putative protein ZNF815,Homo sapiens (Human),reviewed,130,Swiss-Prot
